,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
129,Velaiyilla Pattathari (Original Sound Track),34,3tq3lMwKMnt1MG2c2IeN8Y,Raghuvaran Meets Amul Baby,spotify:track:3tq3lMwKMnt1MG2c2IeN8Y,0.408,0.648,0.158,0.845,0.354,-11.812,0.0459,89.993,0.756,13
130,Velaiyilla Pattathari (Original Sound Track),35,2YtlcfNBGimyVlY6O8pm6M,Raghuvaran's Ethics,spotify:track:2YtlcfNBGimyVlY6O8pm6M,0.00892,0.659,0.512,0.653,0.119,-8.857,0.0732,89.992,0.779,13
131,Velaiyilla Pattathari (Original Sound Track),36,2DZvyJS0M1IFuzwi0v8HNR,Raghuvaran Succeeds,spotify:track:2DZvyJS0M1IFuzwi0v8HNR,0.924,0.608,0.292,0.111,0.262,-8.938,0.0525,79.903,0.193,11
132,Velaiyilla Pattathari (Original Sound Track),37,2R7wnmTy5aMjkgJYDsgvG4,Amma Blessings,spotify:track:2R7wnmTy5aMjkgJYDsgvG4,0.898,0.212,0.264,0.205,0.276,-11.814,0.0379,161.143,0.871,2
133,Velaiyilla Pattathari (Original Sound Track),38,3ZT1R5nE3byL0QAusCOxUa,The Climax Theme,spotify:track:3ZT1R5nE3byL0QAusCOxUa,0.0454,0.602,0.787,0.612,0.143,-8.423,0.093,89.972,0.539,23
134,Master (Original Motion Picture Soundtrack),1,2BcPFQ7nrtUObgAs72xaac,Vaathi Coming,spotify:track:2BcPFQ7nrtUObgAs72xaac,0.276,0.643,0.952,0.49,0.0588,-4.15,0.246,164.784,0.585,60
135,Master (Original Motion Picture Soundtrack),2,0qvoxfYodIfe14gaidhnsV,Andha Kanna Paathaakaa,spotify:track:0qvoxfYodIfe14gaidhnsV,0.301,0.747,0.86,0.0383,0.0743,-4.071,0.279,90.445,0.625,62
136,Master (Original Motion Picture Soundtrack),3,4tHdVbionAnDm4LN17MDIl,Kutti Story,spotify:track:4tHdVbionAnDm4LN17MDIl,0.204,0.555,0.559,1.3e-06,0.0919,-6.134,0.132,99.056,0.769,53
137,Master (Original Motion Picture Soundtrack),4,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.179,0.51,0.797,0.0,0.443,-5.279,0.234,76.965,0.499,49
138,Master (Original Motion Picture Soundtrack),5,7wQR696XF4L91Zr9groP8v,Beat of Master - Instrumental,spotify:track:7wQR696XF4L91Zr9groP8v,0.256,0.844,0.961,0.88,0.0894,-5.095,0.111,172.429,0.547,46
139,Master (Original Motion Picture Soundtrack),6,2K058s9yrpoUfANaQt7Zu4,Polakattum Para Para,spotify:track:2K058s9yrpoUfANaQt7Zu4,0.165,0.758,0.796,4.1e-05,0.29,-6.483,0.17,145.475,0.919,53
140,Master (Original Motion Picture Soundtrack),7,2dnAqKYsZRuNVOJ9OVH7Ov,Pona Pogattum,spotify:track:2dnAqKYsZRuNVOJ9OVH7Ov,0.83,0.685,0.476,0.257,0.092,-9.573,0.0369,142.411,0.601,49
141,Master (Original Motion Picture Soundtrack),8,4PML5RtrVcYAwTTS46otXB,Vaathi Raid,spotify:track:4PML5RtrVcYAwTTS46otXB,0.253,0.806,0.93,1.94e-05,0.106,-3.404,0.132,100.016,0.666,58
142,Anirudhs Darbar,1,3CwvbWfS6RQGwyTmJ8CF2e,Thangamey (From 'Naanum Rowdy Dhaan'),spotify:track:3CwvbWfS6RQGwyTmJ8CF2e,0.48,0.583,0.901,0.0,0.248,-5.785,0.0739,99.927,0.618,20
143,Anirudhs Darbar,2,56v3cgTQHamcCu8aDl0yS8,VIP Title Song (From 'Velai Illa Pattadhaari'),spotify:track:56v3cgTQHamcCu8aDl0yS8,0.00671,0.547,0.927,0.0,0.878,-4.415,0.0944,90.002,0.775,14
144,Anirudhs Darbar,3,5BjSjuvisdr9ItYWGYNZX0,Im So Cool (From 'Kaaki Sattai'),spotify:track:5BjSjuvisdr9ItYWGYNZX0,0.472,0.774,0.879,0.0,0.177,-4.743,0.137,88.003,0.827,12
145,Anirudhs Darbar,4,5XH9U0V4D0jJka8J6RcHse,Ey Inge Paaru (From 'Velai Illa Pattadhaari'),spotify:track:5XH9U0V4D0jJka8J6RcHse,0.0626,0.754,0.835,9.8e-05,0.626,-4.168,0.0948,95.004,0.815,12
146,Anirudhs Darbar,5,7o6TSTMWwmSJocdeCv08Vy,Naanum Rowdy Dhaan (From 'Naanum Rowdy Dhaan'),spotify:track:7o6TSTMWwmSJocdeCv08Vy,0.132,0.633,0.756,0.0,0.0722,-6.567,0.0854,170.07,0.724,11
147,Anirudhs Darbar,6,4UTXWnKLIWLTq7y8ofPHDr,Po Indru Neeyaga (From 'Velai Illa Pattadhaari'),spotify:track:4UTXWnKLIWLTq7y8ofPHDr,0.254,0.485,0.608,0.0,0.084,-3.841,0.0275,144.85,0.412,11
148,Anirudhs Darbar,7,7jZtBIVR5r8wJgagh6j2kg,Kannaana Kanne (From 'Naanum Rowdy Dhaan'),spotify:track:7jZtBIVR5r8wJgagh6j2kg,0.483,0.416,0.586,0.0,0.12,-8.83,0.0479,195.092,0.502,10
149,Anirudhs Darbar,8,3O3y6rpMvC0RnRZMiM53Pt,Kadhal Kan Kattudhe (From 'Kaaki Sattai'),spotify:track:3O3y6rpMvC0RnRZMiM53Pt,0.59,0.42,0.534,0.0,0.133,-4.939,0.0335,139.638,0.514,14
150,Anirudhs Darbar,9,30MpNM66NgVZCmMo7dn5NK,What A Karavaad (From 'Velai Illa Pattadhaari'),spotify:track:30MpNM66NgVZCmMo7dn5NK,0.0775,0.457,0.787,0.0,0.875,-5.841,0.363,83.797,0.462,12
151,Anirudhs Darbar,10,1eS1ckNdtJUS3wOnkJfFVA,Yennai Maatrum Kadhale (From 'Naanum Rowdy Dhaan'),spotify:track:1eS1ckNdtJUS3wOnkJfFVA,0.464,0.515,0.766,3.12e-06,0.136,-7.291,0.0941,112.466,0.346,16
152,Anirudhs Darbar,11,6laz0Z7NjWabGzzgkz9EPD,Amma Amma (From 'Velai Illa Pattadhaari'),spotify:track:6laz0Z7NjWabGzzgkz9EPD,0.381,0.523,0.592,0.0,0.193,-3.954,0.0439,154.935,0.338,6
153,Anirudhs Darbar,12,5oeachFASZ8W8gMM1BULBB,Neeyum Naanum (From 'Naanum Rowdy Dhaan'),spotify:track:5oeachFASZ8W8gMM1BULBB,0.0947,0.569,0.613,0.00619,0.113,-9.959,0.0431,157.98,0.302,10
154,Anirudhs Darbar,13,4GMIulanATNOzCC0k39RDz,Udhungada Sangu (From 'Velai Illa Pattadhaari'),spotify:track:4GMIulanATNOzCC0k39RDz,0.216,0.446,0.801,0.0,0.0654,-5.61,0.121,86.036,0.726,12
155,Anirudhs Darbar,14,06urcRu3Qc9mXX0qJb75rD,Shake That (From 'Kaaki Sattai'),spotify:track:06urcRu3Qc9mXX0qJb75rD,0.177,0.835,0.849,3.46e-05,0.275,-4.202,0.182,99.953,0.847,10
156,Anirudhs Darbar,15,1uqdNdR2ka59OBKC4b3LyE,Varavaa Varavaa (From 'Naanum Rowdy Dhaan'),spotify:track:1uqdNdR2ka59OBKC4b3LyE,0.115,0.611,0.799,0.0,0.044,-7.273,0.134,194.99,0.67,15
157,Naanum Rowdy Dhaan (Dialogues),1,4nDJz8PhL6jWzT1d7cQy4n,Kadhu|Are U Ok Baby,spotify:track:4nDJz8PhL6jWzT1d7cQy4n,0.00114,0.652,0.589,0.421,0.0838,-11.371,0.138,157.886,0.791,0
158,Naanum Rowdy Dhaan (Dialogues),2,7uUp18NnChWQNqyyd4VIsx,Doshi Baba Over Phone,spotify:track:7uUp18NnChWQNqyyd4VIsx,0.882,0.829,0.618,5.5e-05,0.651,-7.283,0.51,103.259,0.96,6
159,Naanum Rowdy Dhaan (Dialogues),3,5Klu9jtuAnvxkLnpFV2N0J,Kadhu|Police Dhaan Gethu,spotify:track:5Klu9jtuAnvxkLnpFV2N0J,0.307,0.687,0.603,0.0,0.134,-7.96,0.446,85.153,0.717,4
160,Naanum Rowdy Dhaan (Dialogues),4,7AcdlDTWqQa55RRsm3vQkI,En Pulla Police Dhaan,spotify:track:7AcdlDTWqQa55RRsm3vQkI,0.549,0.828,0.384,0.0,0.332,-14.593,0.891,98.097,0.837,0
161,Naanum Rowdy Dhaan (Dialogues),5,53TniozUNmr3hhpsJPGUvi,Ketta Police Nalla Rowdy,spotify:track:53TniozUNmr3hhpsJPGUvi,0.335,0.442,0.591,0.136,0.277,-8.44,0.274,172.48,0.773,3
162,Naanum Rowdy Dhaan (Dialogues),6,6l5aoHEY6BdGpch3KNlFYx,Sapteengala ne,spotify:track:6l5aoHEY6BdGpch3KNlFYx,0.495,0.614,0.513,0.0,0.258,-9.596,0.364,86.576,0.757,2
163,Naanum Rowdy Dhaan (Dialogues),7,6lau7nyRpdwbwWi24PgDBI,Kannu Pattudum,spotify:track:6lau7nyRpdwbwWi24PgDBI,0.773,0.596,0.385,0.0,0.466,-16.549,0.939,85.829,0.784,3
164,Naanum Rowdy Dhaan (Dialogues),8,4tbH93MU4JqYi57FSQIqJZ,Kiss Pannikalam,spotify:track:4tbH93MU4JqYi57FSQIqJZ,0.237,0.764,0.786,0.00461,0.195,-9.138,0.201,129.805,0.528,4
165,Naanum Rowdy Dhaan (Dialogues),9,20YNix5pyUDz2SBMkpMnTW,Rowdy Perusa Police Perusa,spotify:track:20YNix5pyUDz2SBMkpMnTW,0.723,0.651,0.49,0.0,0.133,-9.382,0.693,153.233,0.799,2
166,Naanum Rowdy Dhaan (Dialogues),10,0sAS0QUJxwb4HQErOOWADc,Therika Vidalama,spotify:track:0sAS0QUJxwb4HQErOOWADc,0.771,0.572,0.758,0.000111,0.628,-8.735,0.853,91.313,0.863,0
167,Naanum Rowdy Dhaan (Dialogues),11,2Knkczu3onoavkWr2dgJjJ,Puli Pasichalum,spotify:track:2Knkczu3onoavkWr2dgJjJ,0.485,0.554,0.56,0.0,0.36,-15.037,0.448,195.253,0.809,3
168,Naanum Rowdy Dhaan (Dialogues),12,7ry0hBlYk8eG0XevkCxJaC,Dai Red Shirt,spotify:track:7ry0hBlYk8eG0XevkCxJaC,0.799,0.649,0.622,0.0,0.102,-6.288,0.483,121.021,0.579,3
169,Kaaki Sattai (Original Motion Picture Soundtrack),1,3FG5BN4olwDN9MG7x9c7Pg,Kaaki Sattai,spotify:track:3FG5BN4olwDN9MG7x9c7Pg,0.18,0.737,0.963,0.0,0.487,-4.458,0.171,110.019,0.556,2
170,Kaaki Sattai (Original Motion Picture Soundtrack),2,4L21mWm2nixWLLp7bMvMGU,Kadhal Kan Kattudhe,spotify:track:4L21mWm2nixWLLp7bMvMGU,0.561,0.61,0.54,0.0,0.136,-4.931,0.0294,139.638,0.524,3
171,Kaaki Sattai (Original Motion Picture Soundtrack),3,1qI5ISiJsYZMovByLo9BGf,The Trooper Theme,spotify:track:1qI5ISiJsYZMovByLo9BGf,0.0182,0.748,0.732,0.000564,0.35,-6.601,0.171,105.066,0.131,2
172,Kaaki Sattai (Original Motion Picture Soundtrack),4,434soX640gQNfgwBfvRK2y,Im so cool,spotify:track:434soX640gQNfgwBfvRK2y,0.455,0.773,0.877,0.0,0.182,-4.746,0.135,88.008,0.82,11
173,Kaaki Sattai (Original Motion Picture Soundtrack),5,4O7ThLgIg3pKDyPP9ALsTV,Kaaki Sattai Theme Music,spotify:track:4O7ThLgIg3pKDyPP9ALsTV,0.00465,0.669,0.941,0.212,0.113,-4.864,0.166,109.937,0.642,2
174,Kaaki Sattai (Original Motion Picture Soundtrack),6,4wHmP1KGkxWIKTSFF1eYFY,Kattikida,spotify:track:4wHmP1KGkxWIKTSFF1eYFY,0.276,0.702,0.794,0.0,0.382,-4.233,0.281,154.998,0.901,2
175,Kaaki Sattai (Original Motion Picture Soundtrack),7,6XXhMzQUh6sWnJzFNm1hwG,Shake That,spotify:track:6XXhMzQUh6sWnJzFNm1hwG,0.179,0.835,0.856,2.08e-05,0.275,-4.21,0.169,99.947,0.826,3
176,Jersey (Original Background Score),1,1lERCQfI401tja7ln2ByNQ,Jersey The Book,spotify:track:1lERCQfI401tja7ln2ByNQ,0.929,0.453,0.445,0.929,0.119,-11.157,0.0296,87.971,0.3,24
177,Jersey (Original Background Score),2,3mW4HFi0vdLY1JsiAVr2pQ,Arjun Theme,spotify:track:3mW4HFi0vdLY1JsiAVr2pQ,4.24e-06,0.539,0.775,0.836,0.13,-5.137,0.0504,124.141,0.639,22
178,Jersey (Original Background Score),3,50UxAgG5qKKf7iuVzJqqev,Jersey Title Theme,spotify:track:50UxAgG5qKKf7iuVzJqqev,0.864,0.465,0.244,0.843,0.106,-10.061,0.0429,123.764,0.415,22
179,Jersey (Original Background Score),4,1V6Gj7yuo2EzwsOVqwczQu,Padhe Padhe Reprise,spotify:track:1V6Gj7yuo2EzwsOVqwczQu,0.972,0.351,0.261,0.903,0.308,-13.591,0.026,85.05,0.0488,24
180,Jersey (Original Background Score),5,5iYMtmVjKYzHSfjvcNkci3,Arjun & Nani’s Theme,spotify:track:5iYMtmVjKYzHSfjvcNkci3,0.961,0.161,0.269,0.643,0.146,-13.414,0.0309,176.292,0.329,28
181,Jersey (Original Background Score),6,0GzHsRv4uoAU6KXeZa6hNL,Hyderabad v New Zealand,spotify:track:0GzHsRv4uoAU6KXeZa6hNL,0.659,0.748,0.893,0.966,0.101,-8.493,0.0454,114.953,0.393,18
182,Jersey (Original Background Score),7,7t7QaBlUAQTYVi6hOKVBBA,Hyderabad v New Zealand (2),spotify:track:7t7QaBlUAQTYVi6hOKVBBA,0.098,0.685,0.824,0.925,0.101,-9.541,0.119,193.993,0.163,16
183,Jersey (Original Background Score),8,44tINLsOABf7T6SX5LkRWp,Arjun Makes Nani Proud,spotify:track:44tINLsOABf7T6SX5LkRWp,0.177,0.395,0.337,0.866,0.229,-7.91,0.0338,124.08,0.377,20
184,Jersey (Original Background Score),9,5IdCWMcOxIEhsOwQxvkcMY,Interval Block,spotify:track:5IdCWMcOxIEhsOwQxvkcMY,0.349,0.573,0.597,0.754,0.144,-6.773,0.035,99.011,0.476,26
185,Jersey (Original Background Score),10,1thyz5yhOYKE4cV8sX7KcW,Arjun Hugs Murthy Garu,spotify:track:1thyz5yhOYKE4cV8sX7KcW,0.967,0.288,0.218,0.335,0.184,-9.885,0.0308,109.837,0.744,19
186,Jersey (Original Background Score),11,1fKXdjvpTJdBdFZJoPdfpq,Murthy Garu Inspires Arjun,spotify:track:1fKXdjvpTJdBdFZJoPdfpq,0.663,0.535,0.403,0.943,0.14,-10.178,0.029,99.05,0.16,20
187,Jersey (Original Background Score),12,4KySJlDxi7ktCTSUTqzpUD,Vintage Arjun Is Back,spotify:track:4KySJlDxi7ktCTSUTqzpUD,0.164,0.398,0.84,0.847,0.32,-4.223,0.17,124.006,0.681,18
188,Jersey (Original Background Score),13,6SicnwP854rt4VR0MS3mU3,Train Station Scene,spotify:track:6SicnwP854rt4VR0MS3mU3,0.831,0.266,0.843,0.949,0.108,-7.93,0.0454,87.038,0.199,38
189,Jersey (Original Background Score),14,0jfilCleCZcmbjD9yzwCTu,Arjun and Sarah Theme,spotify:track:0jfilCleCZcmbjD9yzwCTu,0.894,0.521,0.224,0.818,0.112,-10.71,0.0371,122.042,0.201,24
190,Jersey (Original Background Score),15,7aho5h4PTwSS8d2i8o67Gl,Arjun and Sarah Theme (2),spotify:track:7aho5h4PTwSS8d2i8o67Gl,0.992,0.255,0.227,0.828,0.248,-11.309,0.032,78.588,0.259,20
191,Jersey (Original Background Score),16,7I1T6FndzUkzntZMAj32uh,Hyderabad v Mumbai,spotify:track:7I1T6FndzUkzntZMAj32uh,0.571,0.548,0.869,0.804,0.524,-6.963,0.0548,180.027,0.838,16
192,Jersey (Original Background Score),17,1JbmuRvjFPPo6M07SK409i,Hyderabad v Mumbai (2),spotify:track:1JbmuRvjFPPo6M07SK409i,0.132,0.788,0.967,0.612,0.132,-5.996,0.054,112.022,0.81,15
193,Jersey (Original Background Score),18,7rdzLkResX0syc1EjbdaOr,Arjun The Master Blaster,spotify:track:7rdzLkResX0syc1EjbdaOr,0.34,0.762,0.933,0.808,0.105,-8.136,0.0471,115.023,0.744,16
194,Jersey (Original Background Score),19,4opbIg8kom5e6V0E3jttK0,Last Ball Victory,spotify:track:4opbIg8kom5e6V0E3jttK0,0.618,0.544,0.795,0.921,0.323,-8.017,0.0524,157.947,0.443,20
195,Jersey (Original Background Score),20,6EqvyjCueVCb3wqeW2a1XE,Nuvvadiginadhe,spotify:track:6EqvyjCueVCb3wqeW2a1XE,0.937,0.353,0.3,0.374,0.108,-12.159,0.0272,88.002,0.342,35
196,Golden Hits of S Janaki,1,48MeEnj5jsbFLTnonyZh1M,Amma Amma,spotify:track:48MeEnj5jsbFLTnonyZh1M,0.596,0.448,0.502,0.0,0.252,-6.894,0.0381,154.923,0.359,27
197,Golden Hits of S Janaki,2,2pi8w82Z47qPMTl3awXHHw,Chukkalanti (Sad),spotify:track:2pi8w82Z47qPMTl3awXHHw,0.59,0.636,0.569,2.69e-05,0.12,-4.632,0.0485,127.27,0.617,15
198,Golden Hits of S Janaki,3,6fHHHdRItjZBM3gfh9SIQN,Jabilli Kosam-Female,spotify:track:6fHHHdRItjZBM3gfh9SIQN,0.454,0.532,0.66,1.57e-05,0.268,-4.372,0.0289,94.646,0.762,34
199,Golden Hits of S Janaki,4,25uKdD1tOzBjwpiVigaAOE,Aaskasam Eenatido,spotify:track:25uKdD1tOzBjwpiVigaAOE,0.905,0.699,0.383,0.207,0.079,-11.608,0.052,91.147,0.846,34
200,Golden Hits of S Janaki,5,16dbHOrmCiU0QA8LOkayv2,Aakasamlo,spotify:track:16dbHOrmCiU0QA8LOkayv2,0.667,0.714,0.679,0.0315,0.424,-5.318,0.0464,124.749,0.905,15
201,Golden Hits of S Janaki,6,0bhD7o8MyBtGNmFnxPUXBZ,Maga Dheera,spotify:track:0bhD7o8MyBtGNmFnxPUXBZ,0.0535,0.727,0.758,0.0,0.355,-7.696,0.152,134.94,0.693,16
202,Golden Hits of S Janaki,7,2oE70NVXrWIUDS31wPrBqq,Naruda O Naruda,spotify:track:2oE70NVXrWIUDS31wPrBqq,0.696,0.453,0.718,0.108,0.255,-6.059,0.0696,160.326,0.873,18
203,Golden Hits of S Janaki,8,1ZRRQ6gPyTwtMHlChTV6oD,Amma Ane Pilichi,spotify:track:1ZRRQ6gPyTwtMHlChTV6oD,0.571,0.363,0.428,0.0,0.352,-6.185,0.0329,187.525,0.516,15
204,Golden Hits of S Janaki,9,3FNzZFzT79EDyBkrqgOpUz,Kadhile Kalamey,spotify:track:3FNzZFzT79EDyBkrqgOpUz,0.443,0.734,0.383,7.38e-05,0.182,-11.685,0.0418,104.039,0.648,15
205,Golden Hits of S Janaki,10,087ltntd8IAzWAt1VT0BXK,Chittikoona (Happy),spotify:track:087ltntd8IAzWAt1VT0BXK,0.55,0.455,0.891,0.00116,0.375,-1.461,0.0844,110.918,0.811,13
206,Golden Hits of S Janaki,11,0JVA6LBVHUUXvNxvD0rS2L,Manchu Kurise,spotify:track:0JVA6LBVHUUXvNxvD0rS2L,0.696,0.543,0.827,0.0255,0.123,1.094,0.0407,88.068,0.511,14
207,Golden Hits of S Janaki,12,5llclXcmxT7eTwFKKhNG8j,Induvadana,spotify:track:5llclXcmxT7eTwFKKhNG8j,0.264,0.528,0.936,0.145,0.139,-5.651,0.175,102.23,0.639,29
208,Golden Hits of S Janaki,13,3SnqJFMOLuvBHhzdZfFQMz,Sarasalu,spotify:track:3SnqJFMOLuvBHhzdZfFQMz,0.382,0.547,0.712,0.000123,0.504,-6.176,0.321,79.562,0.882,21
209,Golden Hits of S Janaki,14,5a90HZi8hKb22XcxgzPqaa,Emauthundhi,spotify:track:5a90HZi8hKb22XcxgzPqaa,0.83,0.52,0.532,0.000697,0.4,-7.899,0.0317,82.861,0.562,13
210,Golden Hits of S Janaki,15,1pGBT6FURZd6GLRby6IgxJ,Sande Poddula,spotify:track:1pGBT6FURZd6GLRby6IgxJ,0.633,0.538,0.674,2.27e-06,0.323,-5.248,0.0502,113.706,0.795,26
211,Golden Hits of S Janaki,16,4yD32tCZF7oDXLQ93ywoRN,Om Namaha,spotify:track:4yD32tCZF7oDXLQ93ywoRN,0.834,0.799,0.756,0.233,0.068,-2.791,0.0323,109.562,0.772,12
212,Golden Hits of S Janaki,17,3OHfXw1oz5AaeWX1FRzca7,Manasu Palike,spotify:track:3OHfXw1oz5AaeWX1FRzca7,0.514,0.71,0.598,0.0236,0.423,-4.375,0.035,121.107,0.616,12
213,Golden Hits of S Janaki,18,5XzsexhUrPohJsKo8ImAp6,Kashmiri Loyalo,spotify:track:5XzsexhUrPohJsKo8ImAp6,0.793,0.586,0.617,8.41e-06,0.113,-5.865,0.0923,147.569,0.901,22
214,Golden Hits of S Janaki,19,33gbY7XHeRPfwW9GYLi2rC,Jivvumani Kondagali,spotify:track:33gbY7XHeRPfwW9GYLi2rC,0.544,0.671,0.817,0.00998,0.112,-4.296,0.0854,136.087,0.71,19
215,Golden Hits of S Janaki,20,4rzb2lPytL8XXADcm1W64z,Kanya Kumaari,spotify:track:4rzb2lPytL8XXADcm1W64z,0.763,0.523,0.645,0.000248,0.128,-6.64,0.0714,84.465,0.779,25
216,Petta (Original Background Score),1,51U5TXf0Zqtp9Q0qs1XvNM,Church Fight,spotify:track:51U5TXf0Zqtp9Q0qs1XvNM,0.595,0.488,0.8,0.925,0.113,-4.085,0.0637,112.414,0.0857,35
217,Petta (Original Background Score),2,66GwGKo3iBBEQ51sw1YFcj,Thalaivar Intro,spotify:track:66GwGKo3iBBEQ51sw1YFcj,0.755,0.649,0.927,0.985,0.542,-2.765,0.0683,114.523,0.605,32
218,Petta (Original Background Score),3,6O1Dce8FbdLk68qtbvzRdk,Chef Kaali,spotify:track:6O1Dce8FbdLk68qtbvzRdk,0.805,0.626,0.815,0.0791,0.222,-2.608,0.032,157.827,0.937,15
219,Petta (Original Background Score),4,4ak8eCTsu2wAv71w6gwxRQ,Itemkaaran,spotify:track:4ak8eCTsu2wAv71w6gwxRQ,0.824,0.463,0.519,0.93,0.101,-7.106,0.0419,133.048,0.125,23
220,Petta (Original Background Score),5,3lA7cyqDXcWSonD0FuqrmA,Thalaivar Romance,spotify:track:3lA7cyqDXcWSonD0FuqrmA,0.792,0.397,0.513,0.73,0.109,-6.929,0.048,83.264,0.448,28
221,Petta (Original Background Score),6,3cMQ75YTvn2VPN4NimePmo,Market Fight,spotify:track:3cMQ75YTvn2VPN4NimePmo,0.198,0.42,0.879,0.0956,0.112,-4.357,0.109,93.261,0.828,17
222,Petta (Original Background Score),7,2ji3XdfdKKm4NkL0tMHuZ1,Nunchaku Theme,spotify:track:2ji3XdfdKKm4NkL0tMHuZ1,0.061,0.607,0.646,0.676,0.156,-4.426,0.0343,133.03,0.244,26
223,Petta (Original Background Score),8,6KhGWEy4nJxGFa25AZyD4p,Kaali Helps in Love,spotify:track:6KhGWEy4nJxGFa25AZyD4p,0.707,0.34,0.481,0.959,0.315,-6.435,0.0474,150.738,0.0626,16
224,Petta (Original Background Score),9,3erSGNZevNV24ksCDakTPV,Torchlight Fight,spotify:track:3erSGNZevNV24ksCDakTPV,0.208,0.436,0.944,0.561,0.217,-5.409,0.0515,133.067,0.83,17
225,Petta (Original Background Score),10,2Y0XUDkmnC2A6rc7piT072,Revenge of Petta,spotify:track:2Y0XUDkmnC2A6rc7piT072,0.834,0.634,0.43,0.829,0.38,-8.781,0.0469,83.97,0.215,17
226,Petta (Original Background Score),11,3mmpJkk0U2LtGnnf9FnsUQ,Petta Velan Intro,spotify:track:3mmpJkk0U2LtGnnf9FnsUQ,0.0383,0.589,0.923,0.859,0.129,-4.51,0.191,88.123,0.616,9
227,Petta (Original Background Score),12,3Rt5H75v1QhHXNFav7Ede0,Anwar Is Born,spotify:track:3Rt5H75v1QhHXNFav7Ede0,0.746,0.144,0.281,0.944,0.119,-10.111,0.0323,179.55,0.101,16
228,Petta (Original Background Score),13,3uOEtcu7Zx1LFC1O2oqkgy,Rhythm of Petta,spotify:track:3uOEtcu7Zx1LFC1O2oqkgy,0.552,0.619,0.953,0.893,0.193,-6.097,0.076,80.038,0.253,36
229,Petta (Original Background Score),14,3tw6mrDyZRWuB9TRJ1wTup,Petta Theme Extended,spotify:track:3tw6mrDyZRWuB9TRJ1wTup,0.784,0.443,0.504,0.915,0.0954,-7.339,0.044,66.313,0.281,23
230,Petta (Original Background Score),15,0GzVot2MOAMrc01LyYYW7J,Kutti Kadhai,spotify:track:0GzVot2MOAMrc01LyYYW7J,0.692,0.868,0.414,0.792,0.113,-10.633,0.127,133.052,0.0368,14
231,Petta (Hindi) [Original Motion Picture Soundtrack],1,6eqoQ2ui3ZdlH1TsHk78pf,Mass Marudaan,spotify:track:6eqoQ2ui3ZdlH1TsHk78pf,0.471,0.562,0.894,8.11e-06,0.386,-5.226,0.326,168.389,0.718,11
232,Petta (Hindi) [Original Motion Picture Soundtrack],2,5YM1e7qxBFS2EPORdjJbjm,Petta Theme - Instrumental,spotify:track:5YM1e7qxBFS2EPORdjJbjm,0.0166,0.668,0.774,0.869,0.081,-4.142,0.034,133.02,0.293,11
233,Petta (Hindi) [Original Motion Picture Soundtrack],3,4bg5KqBk1F9N7DOYSaU3iH,Nazar Sarsari,spotify:track:4bg5KqBk1F9N7DOYSaU3iH,0.833,0.461,0.405,0.0,0.114,-9.84,0.0339,167.891,0.637,22
234,Petta (Hindi) [Original Motion Picture Soundtrack],4,5cbcTeuTt1MbETJTuHZQsB,Madura Petta - Instrumental,spotify:track:5cbcTeuTt1MbETJTuHZQsB,0.182,0.626,0.944,0.952,0.0747,-4.414,0.183,87.972,0.869,3
235,Petta (Hindi) [Original Motion Picture Soundtrack],5,2QH4Mb5hznnNc8WXORTUZx,Petta Paraak,spotify:track:2QH4Mb5hznnNc8WXORTUZx,0.00343,0.637,0.905,0.0,0.104,-6.916,0.0749,96.975,0.842,7
236,Petta (Hindi) [Original Motion Picture Soundtrack],6,2iQOagHL2i6eV7BuW6ROcS,Singaar Singh - Instrumental,spotify:track:2iQOagHL2i6eV7BuW6ROcS,0.372,0.777,0.721,0.809,0.149,-7.454,0.173,80.106,0.153,5
237,Petta (Hindi) [Original Motion Picture Soundtrack],7,1JQm7czQE8LLDLqNahqteu,Ye Shadiyaana,spotify:track:1JQm7czQE8LLDLqNahqteu,0.199,0.711,0.839,0.0,0.0346,-5.058,0.187,146.886,0.94,3
238,Petta (Hindi) [Original Motion Picture Soundtrack],8,4bybGzUzVoX9Q4aKeoOW8x,Jithu Theme - Instrumental,spotify:track:4bybGzUzVoX9Q4aKeoOW8x,0.0163,0.723,0.583,0.811,0.0864,-7.28,0.0461,96.963,0.35,4
239,Petta (Hindi) [Original Motion Picture Soundtrack],9,5at5dUy4DlO7rnk8SlF0sB,Ullaalla,spotify:track:5at5dUy4DlO7rnk8SlF0sB,0.435,0.466,0.799,0.0,0.0497,-4.184,0.413,68.968,0.646,6
240,Petta (Hindi) [Original Motion Picture Soundtrack],10,3bOnh6Y831UGbAHGZosoE4,Kaali Theme - Instrumental,spotify:track:3bOnh6Y831UGbAHGZosoE4,0.13,0.755,0.86,0.388,0.464,-6.137,0.0684,112.524,0.745,5
241,Petta (Hindi) [Original Motion Picture Soundtrack],11,1yASgPMTfhaSeHPvLxIP7p,Thappad Maara,spotify:track:1yASgPMTfhaSeHPvLxIP7p,0.273,0.687,0.741,6.98e-06,0.0961,-7.804,0.222,88.024,0.931,2
